Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Netherlands,7.7,7.9,7.9,7.9,8.5,8.8,9.0,9.1,9.2,9.1,9.5,9.3,8.8,8.0,8.1,7.3,7.0,6.7,6.4,6.1,6.4,6.0,5.8,5.4,5.6,5.7,6.0,6.0,6.0,6.2,6.5,6.4,6.2,5.8,5.4,5.3,5.5,5.4,5.5,5.7,5.5,5.0,5.2,4.9,4.4,4.4,4.4,4.3,4.5,4.4,4.5,4.3,4.2,3.8,3.9,3.8,3.8,3.8
New Zealand,8.0,8.0,7.9,7.8,8.0,8.2,8.6,8.6,8.7,9.0,9.2,9.5,9.2,8.8,8.4,7.9,7.7,7.2,7.1,7.1,7.3,7.5,8.0,7.7,7.8,7.5,7.3,7.4,7.1,6.8,6.9,6.3,5.9,5.8,5.7,5.6,5.5,5.3,5.3,5.5,5.4,5.1,5.2,5.3,5.1,5.0,5.2,5.2,5.2,5.1,4.9,4.7,4.7,4.4,4.4,4.3,4.3,4.3
Norway,6.6,6.7,6.6,6.6,6.8,6.5,7.4,7.7,7.7,7.7,7.6,7.6,7.3,7.1,6.9,6.5,6.3,5.9,5.8,5.7,5.4,5.4,5.3,5.0,5.0,4.9,4.9,5.0,5.2,4.9,5.2,4.7,4.5,4.5,4.8,5.0,5.3,5.4,5.3,5.3,5.0,4.4,4.5,4.9,4.1,4.8,4.7,5.0,5.3,5.0,4.8,4.6,4.8,4.7,4.6,4.5,4.5,4.4
Poland,8.2,7.9,7.5,7.2,7.4,6.4,7.1,7.4,8.0,8.3,8.6,8.9,9.3,9.4,9.5,9.7,9.5,9.4,9.4,9.0,8.6,9.0,8.7,8.4,7.7,7.2,6.9,6.7,6.5,6.7,6.7,6.1,5.7,5.4,5.4,5.4,5.3,5.3,5.4,5.7,5.5,5.1,5.0,5.1,5.0,5.4,5.9,6.5,6.8,6.6,6.0,5.4,5.4,4.7,5.0,5.0,5.1,5.1
Portugal,7.8,8.8,7.9,7.9,8.1,8.4,8.6,8.9,8.7,9.0,9.4,9.7,9.0,9.8,9.3,11.3,10.9,9.7,8.5,8.3,7.4,7.7,7.4,7.5,7.0,6.8,6.9,7.1,7.1,7.3,7.2,7.2,7.0,6.8,6.6,6.6,6.3,6.5,6.6,6.7,6.2,5.6,5.4,5.1,4.7,4.6,4.5,4.4,4.1,3.8,3.8,3.4,3.3,3.1,3.0,3.1,3.1,3.3
Slovak Republic,7.9,7.5,7.2,7.2,7.0,7.0,7.0,7.6,7.5,7.7,7.9,8.4,8.7,9.0,9.0,9.2,9.2,9.2,9.0,8.6,7.9,7.8,8.0,7.9,7.7,7.5,7.4,7.4,7.1,6.9,7.6,6.2,6.4,5.8,5.3,5.1,5.1,5.2,5.1,5.1,4.8,4.4,4.7,4.8,5.2,4.9,4.8,5.1,5.3,4.9,4.7,4.7,4.8,4.7,4.9,5.3,5.5,5.8
Slovenia,8.8,9.1,9.1,8.8,9.0,9.2,8.6,8.3,8.2,8.2,8.3,8.2,9.0,8.9,8.7,8.6,8.3,8.2,8.4,7.6,6.5,6.4,6.1,6.2,5.9,5.4,5.4,5.2,4.6,4.9,4.3,4.1,4.6,4.5,4.2,4.1,3.8,3.8,3.8,3.9,3.6,3.5,3.5,3.4,3.3,2.9,3.2,3.2,3.3,3.2,3.2,3.2,3.4,3.0,3.2,3.1,3.2,3.1
Spain,7.8,7.7,7.6,7.6,7.4,7.1,7.1,7.1,7.0,7.2,7.3,7.4,7.6,7.7,7.6,7.6,7.3,7.2,7.0,6.6,5.9,5.4,5.1,5.1,5.2,5.2,5.4,5.6,5.7,5.7,5.7,5.6,5.6,5.1,5.1,5.1,4.9,5.0,5.2,5.2,5.4,5.1,5.1,5.0,5.0,4.7,4.5,4.4,4.2,3.7,3.6,3.4,3.5,3.3,3.4,3.6,3.7,3.7
Sweden,6.7,7.0,7.1,7.0,7.6,7.8,7.8,7.2,6.6,6.1,5.4,4.9,4.8,4.7,5.5,5.4,5.4,4.9,4.6,4.5,4.5,4.5,4.5,4.3,4.4,4.6,4.6,4.9,5.2,12.8,4.7,4.3,4.3,3.9,3.9,..,3.8,3.7,3.6,4.0,4.5,4.0,4.3,4.4,4.8,4.9,5.0,..,5.5,5.1,5.3,5.0,5.3,5.4,5.5,5.3,5.4,5.2
Switzerland,7.8,7.8,8.0,7.7,7.6,7.7,7.5,7.6,7.5,7.6,7.6,7.2,6.9,6.5,6.1,5.6,5.1,5.3,5.1,5.4,5.7,5.6,5.8,5.9,6.0,6.0,6.2,6.6,6.9,6.8,6.9,7.0,6.6,6.2,6.1,5.8,5.7,5.5,5.4,5.7,5.5,5.0,5.5,5.5,5.3,5.4,5.3,5.3,5.4,5.4,5.5,5.3,5.3,4.9,5.1,5.0,5.0,4.8
